ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
AAPL,20260311,260.81,261.09,262.13,259.55,260.83,-0.01,26218926,6834114345.1,260.66
AAPL,20260310,260.83,257.65,262.48,256.95,259.88,0.37,30590766,7975272717.71,260.71
AAPL,20260309,259.88,255.69,261.15,253.68,257.46,0.94,38218532,9854223103.94,257.84
AAPL,20260306,257.46,258.63,258.77,254.37,260.29,-1.09,41120043,10563654750.61,256.9
AAPL,20260305,260.29,260.79,261.55,257.25,262.52,-0.85,49658625,12893421012.66,259.64
AAPL,20260304,262.52,264.65,266.15,261.42,263.75,-0.47,39803118,10482281679.53,263.35
AAPL,20260303,263.75,263.48,265.56,260.13,264.72,-0.37,38568922,10146065584.63,263.06
AAPL,20260302,264.72,262.41,266.53,260.2,264.18,0.2,41827946,11062266576.46,264.47
AAPL,20260227,264.18,272.81,272.81,262.89,272.95,-3.21,72366500,19237546356.51,265.83
AAPL,20260226,272.95,274.95,276.11,270.79,274.23,-0.47,32345114,8818489724.37,272.64
AAPL,20260225,274.23,271.78,274.94,271.05,272.14,0.77,33714344,9229400453.03,273.75
AAPL,20260224,272.14,267.86,274.89,267.71,266.18,2.24,47014618,12817681812.24,272.63
AAPL,20260223,266.18,263.49,269.43,263.38,264.58,0.6,37308157,9947351157.07,266.63
AAPL,20260220,264.58,258.97,264.75,258.16,260.58,1.54,42070500,11047861388.16,262.6
AAPL,20260219,260.58,262.6,264.48,260.05,264.35,-1.43,30845293,8077897348.69,261.88
AAPL,20260218,264.35,263.6,266.82,262.45,263.88,0.18,34203336,9051767850.26,264.65
AAPL,20260217,263.88,258.05,266.29,255.54,255.78,3.17,58469094,15332135353.35,262.23
AAPL,20260213,255.78,262.01,262.23,255.45,261.73,-2.27,56290672,14525700957.32,258.05
AAPL,20260212,261.73,275.59,275.72,260.18,275.5,-5.0,81077250,21448357328.04,264.54
AAPL,20260211,275.5,274.7,280.18,274.45,273.68,0.67,51931282,14397251016.7,277.24
AAPL,20260210,273.68,274.89,275.37,272.94,274.62,-0.34,34376899,9416433888.06,273.92
AAPL,20260209,274.62,277.91,278.2,271.7,278.12,-1.26,44623395,12218247446.73,273.81
AAPL,20260206,278.12,277.12,280.91,276.93,275.91,0.8,50453415,14061388960.0,278.7
AAPL,20260205,275.91,278.13,279.5,273.23,276.49,-0.21,52977442,14599734846.35,275.58
AAPL,20260204,276.49,272.28,278.95,272.28,269.48,2.6,90545688,24990035828.34,275.99
AAPL,20260203,269.48,269.2,271.88,267.61,270.01,-0.2,64394657,17364327710.46,269.65
AAPL,20260202,270.01,260.03,270.49,259.21,259.48,4.06,73913438,19681185398.49,266.27
AAPL,20260130,259.48,255.16,261.9,252.18,258.28,0.46,92443438,23789177092.84,257.34
AAPL,20260129,258.28,258.0,259.65,254.41,256.44,0.72,67253000,17308272431.8,257.36
AAPL,20260128,256.44,257.65,258.85,254.51,258.27,-0.71,41287973,10574700830.42,256.12
AAPL,20260127,258.27,259.17,261.95,258.21,255.41,1.12,49648270,12906113959.39,259.95
AAPL,20260126,255.41,251.48,256.56,249.8,248.04,2.97,55969235,14249224889.11,254.59
AAPL,20260123,248.04,247.32,249.41,244.68,248.35,-0.12,41688981,10319169244.48,247.53
AAPL,20260122,248.35,249.2,251.0,248.15,247.65,0.28,39708340,9900698808.07,249.34
AAPL,20260121,247.65,248.7,251.56,245.18,246.7,0.39,54641727,13536690095.04,247.74
AAPL,20260120,246.7,252.73,254.79,243.42,255.53,-3.46,80267500,19934883925.67,248.36
AAPL,20260116,255.53,257.9,258.9,254.93,258.21,-1.04,72142750,18494805403.85,256.36
AAPL,20260115,258.21,260.65,261.04,257.05,259.96,-0.67,39388563,10203282289.51,259.04
AAPL,20260114,259.96,259.49,261.82,256.71,261.05,-0.42,40019422,10372602372.84,259.19
AAPL,20260113,261.05,258.72,261.81,258.39,260.25,0.31,45730848,11903597054.15,260.3
